Endereco Virtual: 16916  Endereco Fisico: 0  Conteudo: 33
Endereco Virtual: 62493  Endereco Fisico: 256  Conteudo: 122
Endereco Virtual: 30198  Endereco Fisico: 768  Conteudo: 0
Endereco Virtual: 53683  Endereco Fisico: 768  Conteudo: 104
Endereco Virtual: 40185  Endereco Fisico: 1024  Conteudo: 78
Endereco Virtual: 28781  Endereco Fisico: 1280  Conteudo: 56
Endereco Virtual: 24462  Endereco Fisico: 1792  Conteudo: 0
Endereco Virtual: 48399  Endereco Fisico: 1792  Conteudo: 94
Endereco Virtual: 64815  Endereco Fisico: 2304  Conteudo: 0
Endereco Virtual: 18295  Endereco Fisico: 2304  Conteudo: 35
Endereco Virtual: 12218  Endereco Fisico: 2816  Conteudo: 0
Endereco Virtual: 22760  Endereco Fisico: 2816  Conteudo: 44
Endereco Virtual: 57982  Endereco Fisico: 3072  Conteudo: 113
Endereco Virtual: 27966  Endereco Fisico: 3328  Conteudo: 54
Endereco Virtual: 54894  Endereco Fisico: 3584  Conteudo: 107
Endereco Virtual: 38929  Endereco Fisico: 3840  Conteudo: 76
Endereco Virtual: 32865  Endereco Fisico: 4096  Conteudo: 64
Endereco Virtual: 64243  Endereco Fisico: 4352  Conteudo: 125
Endereco Virtual: 2315  Endereco Fisico: 4864  Conteudo: 0
Endereco Virtual: 64454  Endereco Fisico: 4864  Conteudo: 125
Endereco Virtual: 55041  Endereco Fisico: 5376  Conteudo: 0
Endereco Virtual: 18633  Endereco Fisico: 5376  Conteudo: 36
Endereco Virtual: 14557  Endereco Fisico: 5632  Conteudo: 28
Endereco Virtual: 61006  Endereco Fisico: 5888  Conteudo: 119
Endereco Virtual: 62615  Endereco Fisico: 256  Conteudo: 122
Endereco Virtual: 7591  Endereco Fisico: 6400  Conteudo: 0
Endereco Virtual: 64747  Endereco Fisico: 6400  Conteudo: 126
Endereco Virtual: 6727  Endereco Fisico: 6656  Conteudo: 13
Endereco Virtual: 32315  Endereco Fisico: 6912  Conteudo: 63
Endereco Virtual: 60645  Endereco Fisico: 7168  Conteudo: 118
Endereco Virtual: 6308  Endereco Fisico: 7424  Conteudo: 12
Endereco Virtual: 45688  Endereco Fisico: 7680  Conteudo: 89
Endereco Virtual: 969  Endereco Fisico: 7936  Conteudo: 1
Endereco Virtual: 40891  Endereco Fisico: 8448  Conteudo: 0
Endereco Virtual: 49294  Endereco Fisico: 8448  Conteudo: 96
Endereco Virtual: 41118  Endereco Fisico: 8704  Conteudo: 80
Endereco Virtual: 21395  Endereco Fisico: 8960  Conteudo: 41
Endereco Virtual: 6091  Endereco Fisico: 9472  Conteudo: 0
Endereco Virtual: 32541  Endereco Fisico: 9472  Conteudo: 63
Endereco Virtual: 17665  Endereco Fisico: 9984  Conteudo: 0
Endereco Virtual: 3784  Endereco Fisico: 9984  Conteudo: 7
Endereco Virtual: 28718  Endereco Fisico: 1280  Conteudo: 56
Endereco Virtual: 59240  Endereco Fisico: 10496  Conteudo: 0
Endereco Virtual: 40178  Endereco Fisico: 1024  Conteudo: 78
Endereco Virtual: 60086  Endereco Fisico: 10496  Conteudo: 117
Endereco Virtual: 42252  Endereco Fisico: 11008  Conteudo: 0
Endereco Virtual: 44770  Endereco Fisico: 11008  Conteudo: 87
Endereco Virtual: 22514  Endereco Fisico: 11520  Conteudo: 0
Endereco Virtual: 3067  Endereco Fisico: 11520  Conteudo: 5
Endereco Virtual: 15757  Endereco Fisico: 12032  Conteudo: 0
Endereco Virtual: 31649  Endereco Fisico: 12032  Conteudo: 61
Endereco Virtual: 10842  Endereco Fisico: 12288  Conteudo: 21
Endereco Virtual: 43765  Endereco Fisico: 12544  Conteudo: 85
Endereco Virtual: 33405  Endereco Fisico: 12800  Conteudo: 65
Endereco Virtual: 44954  Endereco Fisico: 13056  Conteudo: 87
Endereco Virtual: 56657  Endereco Fisico: 13568  Conteudo: 0
Endereco Virtual: 5003  Endereco Fisico: 13568  Conteudo: 9
Endereco Virtual: 50227  Endereco Fisico: 13824  Conteudo: 98
Endereco Virtual: 19358  Endereco Fisico: 14080  Conteudo: 37
Endereco Virtual: 36529  Endereco Fisico: 14336  Conteudo: 71
Endereco Virtual: 10392  Endereco Fisico: 14592  Conteudo: 20
Endereco Virtual: 58882  Endereco Fisico: 14848  Conteudo: 115
Endereco Virtual: 5129  Endereco Fisico: 15104  Conteudo: 10
Endereco Virtual: 58554  Endereco Fisico: 15360  Conteudo: 114
Endereco Virtual: 58584  Endereco Fisico: 15360  Conteudo: 114
Endereco Virtual: 27444  Endereco Fisico: 15616  Conteudo: 53
Endereco Virtual: 58982  Endereco Fisico: 14848  Conteudo: 115
Endereco Virtual: 51476  Endereco Fisico: 16128  Conteudo: 0
Endereco Virtual: 6796  Endereco Fisico: 6656  Conteudo: 13
Endereco Virtual: 21311  Endereco Fisico: 8960  Conteudo: 41
Endereco Virtual: 30705  Endereco Fisico: 16128  Conteudo: 59
Endereco Virtual: 28964  Endereco Fisico: 16640  Conteudo: 0
Endereco Virtual: 41003  Endereco Fisico: 8704  Conteudo: 80
Endereco Virtual: 20259  Endereco Fisico: 16640  Conteudo: 39
Endereco Virtual: 57857  Endereco Fisico: 3072  Conteudo: 113
Endereco Virtual: 63258  Endereco Fisico: 17152  Conteudo: 0
Endereco Virtual: 36374  Endereco Fisico: 14336  Conteudo: 71
Endereco Virtual: 692  Endereco Fisico: 17152  Conteudo: 1
Endereco Virtual: 43121  Endereco Fisico: 17408  Conteudo: 84
Endereco Virtual: 48128  Endereco Fisico: 17664  Conteudo: 94
Endereco Virtual: 34561  Endereco Fisico: 18176  Conteudo: 0
Endereco Virtual: 49213  Endereco Fisico: 8448  Conteudo: 96
Endereco Virtual: 36922  Endereco Fisico: 18176  Conteudo: 72
Endereco Virtual: 59162  Endereco Fisico: 10496  Conteudo: 117
Endereco Virtual: 50552  Endereco Fisico: 18688  Conteudo: 0
Endereco Virtual: 17866  Endereco Fisico: 9984  Conteudo: 7
Endereco Virtual: 18145  Endereco Fisico: 18688  Conteudo: 35
Endereco Virtual: 3884  Endereco Fisico: 19200  Conteudo: 0
Endereco Virtual: 54388  Endereco Fisico: 19200  Conteudo: 106
Endereco Virtual: 42932  Endereco Fisico: 19712  Conteudo: 0
Endereco Virtual: 46919  Endereco Fisico: 19712  Conteudo: 91
Endereco Virtual: 58892  Endereco Fisico: 14848  Conteudo: 115
Endereco Virtual: 8620  Endereco Fisico: 20224  Conteudo: 0
Endereco Virtual: 38336  Endereco Fisico: 20224  Conteudo: 74
Endereco Virtual: 64357  Endereco Fisico: 4864  Conteudo: 125
Endereco Virtual: 23387  Endereco Fisico: 20736  Conteudo: 0
Endereco Virtual: 42632  Endereco Fisico: 20736  Conteudo: 83
Endereco Virtual: 15913  Endereco Fisico: 20992  Conteudo: 31
Endereco Virtual: 15679  Endereco Fisico: 12032  Conteudo: 61
Endereco Virtual: 22501  Endereco Fisico: 11520  Conteudo: 5
Endereco Virtual: 37540  Endereco Fisico: 21248  Conteudo: 73
Endereco Virtual: 5527  Endereco Fisico: 21760  Conteudo: 0
Endereco Virtual: 63921  Endereco Fisico: 21760  Conteudo: 124
Endereco Virtual: 62716  Endereco Fisico: 256  Conteudo: 122
Endereco Virtual: 32874  Endereco Fisico: 4096  Conteudo: 64
Endereco Virtual: 64390  Endereco Fisico: 4864  Conteudo: 125
Endereco Virtual: 63101  Endereco Fisico: 22016  Conteudo: 123
Endereco Virtual: 61802  Endereco Fisico: 22272  Conteudo: 120
Endereco Virtual: 19648  Endereco Fisico: 22528  Conteudo: 38
